name,level,school,casting_time,range,components,duration,concentration,ritual,classes,description,source
Enlarge/Reduce,2,Transmutation,1 action,30 feet,V S M (powdered iron),Concentration up to 1 minute,Yes,No,"Sorcerer, Wizard","Enlarge: size +1 category, advantage on STR checks/saves, +1d4 weapon damage. Reduce: size -1 category, disadvantage on STR checks/saves, -1d4 weapon damage. CON save to resist if unwilling.",Basic
Enthrall,2,Enchantment,1 action,60 feet,V S,1 minute,No,No,"Bard, Warlock",WIS save or disadvantage on Perception checks vs anyone except you for duration.,Basic
Find Steed,2,Conjuration,10 minutes,30 feet,V S,Instantaneous,No,No,Paladin,Summon spirit-bound mount (warhorse/pony/camel/elk/mastiff). Intelligent; bond with rider; communication.,Basic
Find Traps,2,Divination,1 action,120 feet,V S,Instantaneous,No,No,"Cleric, Druid, Ranger",Sense if traps present in line of sight; doesn't reveal location/type.,Basic
Flame Blade,2,Evocation,1 bonus action,Self,V S M (sumac leaf),Concentration up to 10 minutes,Yes,No,Druid,Fiery blade in hand. Action to attack 3d6 fire (melee spell attack). Sheds bright 10ft/dim 10ft. Upcast +1d6 per 2 slots.,Basic
Flaming Sphere,2,Conjuration,1 action,60 feet,V S M (pinch of sulfur),Concentration up to 1 minute,Yes,No,"Druid, Wizard",5ft sphere of fire. DEX save half 2d6 fire on creatures within 5ft (auto on cast). Bonus action to move 30ft. Ram into creature: DEX save. Upcast +1d6 per slot above 2nd.,Basic
Gentle Repose,2,Necromancy,1 action,Touch,V S M (pinch of salt and copper pieces on eyes),10 days,No,Yes,"Cleric, Wizard",Corpse no decay; doesn't become undead.,Basic
Gust of Wind,2,Evocation,1 action,Self (60-foot line),V S M (legume seed),Concentration up to 1 minute,Yes,No,"Druid, Sorcerer, Wizard",60ft line × 10ft wide of strong wind. STR save or pushed 15ft. Halves movement of creatures going against. Disperses gas/fog. Bonus action redirect.,Basic
Heat Metal,2,Transmutation,1 action,60 feet,V S M (piece of iron and a flame),Concentration up to 1 minute,Yes,No,"Bard, Druid",Metal object glows red. Holding/wearing creature 2d8 fire on cast. Bonus action to repeat. CON save or drop and have disadvantage on attacks/checks. Upcast +1d8 per slot.,Basic
Hold Person,2,Enchantment,1 action,60 feet,V S M (small straight piece of iron),Concentration up to 1 minute,Yes,No,"Bard, Cleric, Druid, Sorcerer, Warlock, Wizard",Humanoid WIS save or paralyzed. Repeat save end of each turn. Upcast +1 target per slot above 2nd.,Basic
Invisibility,2,Illusion,1 action,Touch,V S M (eyelash in gum arabic),Concentration up to 1 hour,Yes,No,"Bard, Sorcerer, Warlock, Wizard",Touched creature invisible. Ends if attacks/casts spell. Upcast +1 target per slot above 2nd.,Basic
Knock,2,Transmutation,1 action,60 feet,V,Instantaneous,No,No,"Bard, Sorcerer, Wizard",Open one locked/stuck/barred object. Suppresses arcane lock for 10 min. Loud knock 300ft.,Basic
Lesser Restoration,2,Abjuration,1 action,Touch,V S,Instantaneous,No,No,"Bard, Cleric, Druid, Paladin, Ranger",End one disease or one condition: blinded/deafened/paralyzed/poisoned.,Basic
Levitate,2,Transmutation,1 action,60 feet,V S M (small leather loop or piece of golden wire bent into a cup),Concentration up to 10 minutes,Yes,No,"Sorcerer, Wizard",One creature/object up to 500lb. Rises 20ft. CON save resist if unwilling. Move up to 20ft up/down per turn.,Basic
Locate Animals or Plants,2,Divination,1 action,Self,V S M (bit of fur from a bloodhound),Instantaneous,No,Yes,"Bard, Druid, Ranger",Sense location/direction of nearest specified beast or plant within 5 miles.,Basic
Locate Object,2,Divination,1 action,Self,V S M (forked twig),Concentration up to 10 minutes,Yes,No,"Bard, Cleric, Druid, Paladin, Ranger, Wizard",Sense direction of object you've seen up to 1000ft (or nearest of a kind).,Basic
Magic Mouth,2,Illusion,1 minute,30 feet,V S M (small bit of honeycomb and jade dust 10gp - consumed),Until dispelled,No,Yes,"Bard, Wizard",Implant message in object that delivers when triggered.,Basic
Magic Weapon,2,Transmutation,1 bonus action,Touch,V S,Concentration up to 1 hour,Yes,No,"Paladin, Wizard","Nonmagical weapon becomes magic with +1 to attack/damage. Upcast +2 at 4th, +3 at 6th.",Basic
Mirror Image,2,Illusion,1 action,Self,V S,1 minute,No,No,"Sorcerer, Warlock, Wizard",3 duplicates around you. Attack roll might hit a duplicate (d20 with thresholds: 6+/8+/11+ for 3/2/1 duplicates). Hit destroys duplicate.,Basic
Misty Step,2,Conjuration,1 bonus action,Self,V,Instantaneous,No,No,"Sorcerer, Warlock, Wizard",Teleport up to 30ft to unoccupied space you can see.,Basic
Moonbeam,2,Evocation,1 action,120 feet,V S M (several seeds of any moonseed plant and a piece of opalescent feldspar),Concentration up to 1 minute,Yes,No,Druid,5ft radius cylinder 40ft tall. CON save half 2d10 radiant on creatures entering or starting turn in. Bonus action to move 60ft. Shapechangers disadvantage. Upcast +1d10 per slot.,Basic
Pass without Trace,2,Abjuration,1 action,Self,V S M (ashes from a burned leaf of mistletoe and a sprig of spruce),Concentration up to 1 hour,Yes,No,"Druid, Ranger",You and creatures within 30ft +10 Stealth and can't be tracked except by magic.,Basic
Phantasmal Force,2,Illusion,1 action,60 feet,V S M (bit of fleece),Concentration up to 1 minute,Yes,No,"Bard, Sorcerer, Wizard",INT save or believe phantom. Damage 1d6 psychic (perceived). INT (Investigation) to disbelieve. 10ft cube area.,Basic
Prayer of Healing,2,Evocation,10 minutes,30 feet,V,Instantaneous,No,No,Cleric,Up to 6 creatures regain 2d8 + spellcasting mod HP. Upcast +1d8 per slot above 2nd.,Basic
Protection from Poison,2,Abjuration,1 action,Touch,V S,1 hour,No,No,"Cleric, Druid, Paladin, Ranger",Neutralize one poison; advantage on saves vs poison and resistance to poison damage.,Basic
Ray of Enfeeblement,2,Necromancy,1 action,60 feet,V S,Concentration up to 1 minute,Yes,No,"Warlock, Wizard",Spell attack. On hit creature deals half STR weapon damage. CON save end of each turn to end.,Basic
Rope Trick,2,Transmutation,1 action,Touch,V S M (powdered corn and a twisted loop of parchment),1 hour,No,No,Wizard,Touched rope rises 60ft into extradimensional space holding 8 medium creatures.,Basic
Scorching Ray,2,Evocation,1 action,120 feet,V S,Instantaneous,No,No,"Sorcerer, Wizard",3 fiery rays. Each: spell attack 2d6 fire. Upcast +1 ray per slot above 2nd.,Basic
See Invisibility,2,Divination,1 action,Self,V S M (pinch of talc and a small sprinkling of powdered silver),1 hour,No,No,"Bard, Sorcerer, Wizard",See invisible/Ethereal plane creatures and objects within 30ft.,Basic
Shatter,2,Evocation,1 action,60 feet,V S M (chip of mica),Instantaneous,No,No,"Bard, Sorcerer, Warlock, Wizard",10ft radius sphere. CON save half 3d8 thunder. Constructs disadvantage. Nonmagical objects break. Upcast +1d8 per slot.,Basic
Silence,2,Illusion,1 action,120 feet,V S,Concentration up to 10 minutes,Yes,Yes,"Bard, Cleric, Ranger",20ft radius sphere. No sound; no V components in or through.,Basic
Spider Climb,2,Transmutation,1 action,Touch,V S M (drop of bitumen and a spider),Concentration up to 1 hour,Yes,No,"Sorcerer, Warlock, Wizard",Touched creature climbs walls/ceilings hands free. Climb speed = walk speed.,Basic
Spike Growth,2,Transmutation,1 action,150 feet,V S M (seven sharp thorns or pointed twigs),Concentration up to 10 minutes,Yes,No,"Druid, Ranger",20ft radius difficult terrain. 2d4 piercing per 5ft moved.,Basic
Spiritual Weapon,2,Evocation,1 bonus action,60 feet,V S,1 minute,No,No,Cleric,Floating weapon. Bonus action to attack: melee spell attack 1d8 + spellcasting mod force damage. Bonus action to move 20ft. Upcast +1d8 per 2 slots above 2nd.,Basic
Suggestion,2,Enchantment,1 action,30 feet,V M (snake's tongue and either a bit of honeycomb or a drop of sweet oil),Concentration up to 8 hours,Yes,No,"Bard, Sorcerer, Warlock, Wizard",Target WIS save or follow course of action (≤25 word) for duration.,Basic
Warding Bond,2,Abjuration,1 action,Touch,V S M (pair of platinum rings worth at least 50 gp each - one on you one on target),1 hour,No,No,Cleric,"Target +1 AC, +1 saves, resistance to all damage. You take same damage target takes. Range up to 60ft.",Basic
Web,2,Conjuration,1 action,60 feet,V S M (bit of spiderweb),Concentration up to 1 hour,Yes,No,"Sorcerer, Wizard",20ft cube webs. Difficult terrain + lightly obscured. DEX save or restrained. STR action to escape.,Basic
Zone of Truth,2,Enchantment,1 action,60 feet,V S,10 minutes,No,No,"Bard, Cleric, Paladin",15ft radius. Each creature CHA save on entry; on fail can't lie (knows attempt). Aware of zone.,Basic
Animate Dead,3,Necromancy,1 minute,10 feet,"V S M (drop of blood, piece of flesh, pinch of bone dust)",Instantaneous,No,No,"Cleric, Wizard",Reanimate Medium/Small humanoid corpse as skeleton or zombie. Bonus action to command. Recast within 24h to maintain. Upcast +2 undead per slot.,Basic
Beacon of Hope,3,Abjuration,1 action,30 feet,V S,Concentration up to 1 minute,Yes,No,Cleric,Any number of willing creatures: advantage on WIS saves and death saves; max HP for healing.,Basic
Bestow Curse,3,Necromancy,1 action,Touch,V S,Concentration up to 1 minute,Yes,No,"Bard, Cleric, Wizard",Touched creature WIS save. On fail one curse: disadvantage on chosen ability checks/saves; disadvantage on attacks vs caster; WIS save each turn or waste action; +1d8 necrotic from your attacks/spells. Upcast: +duration (10min/8h/24h/dispel) and concentration changes.,Basic
Blink,3,Transmutation,1 action,Self,V S,1 minute,No,No,"Sorcerer, Wizard",End of each turn d20: 11+ disappear to Ethereal until next turn end then reappear unoccupied space ≤10ft.,Basic
